player_id,player_code,name,date_of_birth,age,height,citizenship,position,foot,current_market_value,intl_caps,intl_goals,source_league,season_id,competition_code
441170,valentin-rosier,Valentin Rosier,19/08/1996,29.0,"1,75 m",France,Defender - Right-Back,right,3000000.0,7.0,0.0,2024-ligue-1,2024,ligue-1
324804,yann-karamoh,Yann Karamoh,08/07/1998,27.0,"1,84 m",France,Attack - Left Winger,right,1500000.0,4.0,1.0,2024-ligue-1,2024,ligue-1
419648,veljko-birmancevic,Veljko Birmancevic,05/03/1998,28.0,"1,79 m",Serbia,Attack - Left Winger,right,4500000.0,15.0,0.0,2024-ligue-1,2024,ligue-1
566931,xavi-simons,Xavi Simons,21/04/2003,23.0,"1,79 m",Netherlands,Midfield - Attacking Midfield,right,50000000.0,34.0,6.0,2024-ligue-1,2024,ligue-1
970364,yael-mouanga,Yaël Mouanga,23/07/2005,20.0,"1,83 m",France,Defender - Centre-Back,right,1000000.0,,,2024-ligue-1,2024,ligue-1
146854,wissam-ben-yedder,Wissam Ben Yedder,12/08/1990,35.0,"1,70 m",France,Attack - Centre-Forward,both,700000.0,19.0,3.0,2024-ligue-1,2024,ligue-1
395677,yann-kitala,Yann Kitala,09/04/1998,28.0,"1,86 m",DR Congo,Attack - Centre-Forward,left,200000.0,1.0,0.0,2024-ligue-1,2024,ligue-1
406008,yan-valery,Yan Valery,22/02/1999,27.0,"1,85 m",Tunisia,Defender - Right-Back,right,1300000.0,21.0,0.0,2024-ligue-1,2024,ligue-1
454149,yan-marillat,Yan Marillat,12/08/1994,31.0,"1,83 m",France,Goalkeeper,right,,,,2024-ligue-1,2024,ligue-1
804829,yannick-pandor,Yannick Pandor,01/05/2001,25.0,"1,92 m",Comoros,Goalkeeper,left,400000.0,17.0,0.0,2024-ligue-1,2024,ligue-1
569376,yanis-begraoui,Yanis Begraoui,04/07/2001,24.0,"1,79 m",Morocco,Attack - Centre-Forward,both,8000000.0,15.0,6.0,2024-ligue-1,2024,ligue-1
796589,yassine-benhattab,Yassine Benhattab,18/11/2002,23.0,"1,70 m",France,Attack - Right Winger,left,2000000.0,,,2024-ligue-1,2024,ligue-1
691841,yanis-zouaoui,Yanis Zouaoui,28/04/1998,28.0,"1,83 m",France,Defender - Left-Back,left,2500000.0,,,2024-ligue-1,2024,ligue-1
988272,yoni-gomis,Yoni Gomis,23/09/2005,20.0,"1,86 m",France,Defender - Centre-Back,left,600000.0,6.0,0.0,2024-ligue-1,2024,ligue-1
1047097,yoram-zague,Yoram Zague,15/05/2006,19.0,"1,68 m",France,Defender - Right-Back,right,1800000.0,11.0,1.0,2024-ligue-1,2024,ligue-1
467720,youssoufa-moukoko,Youssoufa Moukoko,20/11/2004,21.0,"1,79 m",Germany,Attack - Centre-Forward,left,7000000.0,2.0,0.0,2024-ligue-1,2024,ligue-1
386726,yusuf-yazici,Yusuf Yazıcı,29/01/1997,29.0,"1,83 m",Türkiye,Midfield - Attacking Midfield,left,4000000.0,45.0,3.0,2024-ligue-1,2024,ligue-1
351843,yoann-salmier,Yoann Salmier,21/11/1992,33.0,"1,88 m",French Guiana,Defender - Centre-Back,right,700000.0,2.0,0.0,2024-ligue-1,2024,ligue-1
427572,zuriko-davitashvili,Zuriko Davitashvili,15/02/2001,25.0,"1,75 m",Georgia,Attack - Left Winger,right,10000000.0,54.0,7.0,2024-ligue-1,2024,ligue-1
569598,youssouf-fofana,Youssouf Fofana,10/01/1999,27.0,"1,85 m",France,Midfield - Defensive Midfield,right,25000000.0,25.0,3.0,2024-ligue-1,2024,ligue-1
1044893,yaya-fofana,Yaya Fofana,12/06/2004,21.0,"1,80 m",Cote d'Ivoire,Midfield - Central Midfield,right,2000000.0,1.0,0.0,2024-ligue-1,2024,ligue-1
199704,yunis-abdelhamid,Yunis Abdelhamid,28/09/1987,38.0,"1,90 m",Morocco,Defender - Centre-Back,left,300000.0,1.0,0.0,2024-ligue-1,2024,ligue-1
503866,albert-gronbaek,Albert Grønbæk,23/05/2001,24.0,"1,81 m",Denmark,Midfield - Attacking Midfield,right,5000000.0,8.0,1.0,2024-premier-league,2024,premier-league
427568,aaron-ramsdale,Aaron Ramsdale,14/05/1998,28.0,"1,90 m",England,Goalkeeper,right,12000000.0,5.0,0.0,2024-premier-league,2024,premier-league
250426,adam-armstrong,Adam Armstrong,10/02/1997,29.0,"1,73 m",England,Attack - Centre-Forward,right,8000000.0,5.0,1.0,2024-premier-league,2024,premier-league
1145504,aaron-anselmino,Aarón Anselmino,29/04/2005,21.0,"1,86 m",Argentina,Defender - Centre-Back,right,12000000.0,0.0,0.0,2024-premier-league,2024,premier-league
