type,club,direction,player,player_href,age,nationality,position,market_value,origin_club,fee,source,source_league,fee_type,fee_raw,position_group,buyer,seller,premium_ratio,season_id,competition_code,net_transfer_record,squad_size,average_age,national_team_players,competition_name,country_name,league_total_market_value
transfer,Bayern Munich,Out,Alexander Nübel,/alexander-nubel/profil/spieler/195778,26.0,Germany,Goalkeeper,8000000.0,Stuttgart,1000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €1.00m,Goalkeeper,Stuttgart,Bayern Munich,-0.875,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Bright Arrey-Mbi,/bright-arrey-mbi/profil/spieler/580193,20.0,Germany,Centre-Back,800000.0,Hannover 96,620000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€620k,Defender,Hannover 96,Bayern Munich,-0.22499999999999998,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Gabriel Vidovic,/gabriel-vidovic/profil/spieler/604327,19.0,Croatia,Left Winger,2500000.0,Dinamo Zagreb,500000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €500k,Attacker,Dinamo Zagreb,Bayern Munich,-0.8,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Daley Blind,/daley-blind/profil/spieler/12282,33.0,Netherlands,Centre-Back,3000000.0,Girona,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Defender,Girona,Bayern Munich,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Arijon Ibrahimovic,/arijon-ibrahimovic/profil/spieler/744728,17.0,Germany,Attacking Midfield,1000000.0,Frosinone,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_free,loan transfer,Midfielder,Frosinone,Bayern Munich,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Paul Wanner,/paul-wanner/profil/spieler/900909,17.0,Austria,Attacking Midfield,3000000.0,SV Elversberg,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_free,loan transfer,Midfielder,SV Elversberg,Bayern Munich,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Josip Stanisic,/josip-stanisic/profil/spieler/483046,23.0,Croatia,Right-Back,12000000.0,Leverkusen,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_free,loan transfer,Defender,Leverkusen,Bayern Munich,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Johannes Schenk,/johannes-schenk/profil/spieler/604326,20.0,Germany,Goalkeeper,300000.0,Pr. Münster,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_free,loan transfer,Goalkeeper,Pr. Münster,Bayern Munich,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Frans Krätzig,/frans-kratzig/profil/spieler/604320,21.0,Germany,Left-Back,1500000.0,Austria Vienna,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_free,loan transfer,Defender,Austria Vienna,Bayern Munich,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,João Cancelo,/joao-cancelo/profil/spieler/182712,29.0,Portugal,Right-Back,50000000.0,Man City,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,end_of_loan,End of loan 30/06/2023,Defender,Man City,Bayern Munich,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Felix Nmecha,/felix-nmecha/profil/spieler/406640,22.0,Germany,Central Midfield,15000000.0,Wolfsburg,30000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€30.00m,Midfielder,Borussia Dortmund,Wolfsburg,1.0,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Marcel Sabitzer,/marcel-sabitzer/profil/spieler/106987,29.0,Austria,Central Midfield,20000000.0,Bayern Munich,19000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€19.00m,Midfielder,Borussia Dortmund,Bayern Munich,-0.050000000000000044,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Niclas Füllkrug,/niclas-fullkrug/profil/spieler/75489,30.0,Germany,Centre-Forward,13000000.0,Werder Bremen,17250000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€17.25m,Attacker,Borussia Dortmund,Werder Bremen,0.32692307692307687,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Ian Maatsen,/ian-maatsen/profil/spieler/485585,21.0,Netherlands,Left-Back,20000000.0,Chelsea,2300000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €2.30m,Defender,Borussia Dortmund,Chelsea,-0.885,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
