player,buyer,seller,season_id,competition_code,country_name,premium_ratio,premium_ratio_w,hedonic_residual,pi_hedonic_pct,age,position_group,is_attacker,is_midfielder,is_defender,log_fee,log_mv,fee,market_value,revenue_sales,log_revenue,n_sales,max_sale,total_spend,n_buys,net_balance,net_transfer_record,squad_size,average_age,national_team_players,log_league_mv,in_degree,out_degree,pagerank,in_strength,out_strength,net_flow,season_id,season_2018,season_2019,season_2021,season_2022,season_2023,season_2024,season_2025
Philipp Max,Eintracht Frankfurt,PSV,2023,bundesliga,Germany,-0.3333333333333333,-0.3333333333333333,-0.07530438118149796,-7.253889199604336,29.0,Defender,0,0,1,14.508658238524095,14.914123179965662,2000000.0,3000000.0,149500000.0,18.82280695748398,8,95000000.0,80800000.0,14,68700000.0,53400000.0,29,25.6,13,22.336695770849254,14,0,0.0096296462134131,80800000.0,0.0,-80800000.0,2023,0,0,0,0,1,0,0
Kauã Santos,Eintracht Frankfurt,Flamengo U20,2023,bundesliga,Germany,3.0,3.0,0.5213726247364434,68.43387481471797,20.0,Goalkeeper,0,0,0,14.285514812209815,12.899222326086994,1600000.0,400000.0,149500000.0,18.82280695748398,8,95000000.0,80800000.0,14,68700000.0,53400000.0,29,25.6,13,22.336695770849254,14,0,0.0096296462134131,80800000.0,0.0,-80800000.0,2023,0,0,0,0,1,0,0
Nnamdi Collins,Eintracht Frankfurt,B. Dortmund II,2023,bundesliga,Germany,0.3333333333333332,0.3333333333333332,-0.43887246902209043,-35.523722740070966,19.0,Defender,0,0,1,13.815511557963774,13.527829818844937,1000000.0,750000.0,149500000.0,18.82280695748398,8,95000000.0,80800000.0,14,68700000.0,53400000.0,29,25.6,13,22.336695770849254,14,0,0.0096296462134131,80800000.0,0.0,-80800000.0,2023,0,0,0,0,1,0,0
Lovro Majer,VfL Wolfsburg,Stade Rennais,2023,bundesliga,Germany,0.25,0.25,0.5790987420261153,78.44295305142828,25.0,Midfielder,0,1,0,17.034386422832473,16.811242881518265,25000000.0,20000000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Joakim Maehle,VfL Wolfsburg,Atalanta,2023,bundesliga,Germany,-0.1071428571428571,-0.1071428571428571,0.21044457239873182,23.422666423120518,26.0,Defender,0,0,1,16.341239282272525,16.454567959008102,12500000.0,14000000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Tiago Tomás,VfL Wolfsburg,Sporting,2023,bundesliga,Germany,0.2571428571428571,0.2571428571428571,-0.028318459623578818,-2.792125341340179,21.0,Attacker,1,0,0,15.990262393084793,15.76142084987672,8800000.0,7000000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Vaclav Cerny,VfL Wolfsburg,FC Twente,2023,bundesliga,Germany,0.0,0.0,0.0986816232739578,10.371486080425374,25.0,Attacker,1,0,0,15.894952224644102,15.894952224644102,8000000.0,8000000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Moritz Jenz,VfL Wolfsburg,FC Lorient,2023,bundesliga,Germany,0.0666666666666666,0.0666666666666666,0.12188862258095412,12.962829799527743,24.0,Defender,0,0,1,15.894952224644102,15.830413711839864,8000000.0,7500000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Rogério,VfL Wolfsburg,Sassuolo,2023,bundesliga,Germany,0.0,0.0,0.09176349130513017,9.610557208161886,25.0,Defender,0,0,1,15.520258832020865,15.520258832020865,5500000.0,5500000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Cédric Zesiger,VfL Wolfsburg,Young Boys,2023,bundesliga,Germany,-0.0909090909090909,-0.0909090909090909,-0.0035466703173803182,-0.3540389016710388,25.0,Defender,0,0,1,15.424948670398354,15.520258832020865,5000000.0,5500000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Kevin Behrens,VfL Wolfsburg,Union Berlin,2023,bundesliga,Germany,-0.5,-0.5,-0.11890433050984228,-11.210730882497366,32.0,Attacker,1,0,0,14.508658238524095,15.201805169084134,2000000.0,4000000.0,72100000.0,18.0935646161248,4,40000000.0,74800000.0,8,-2700000.0,-30980000.0,33,25.5,14,22.336695770849254,8,0,0.004080287577162458,74800000.0,0.0,-74800000.0,2023,0,0,0,0,1,0,0
Tom Krauß,1.FSV Mainz 05,Leipzig,2023,bundesliga,Germany,-0.2857142857142857,-0.2857142857142857,-0.39818764774267557,-32.846404049196586,22.0,Midfielder,0,1,0,15.424948670398354,15.76142084987672,5000000.0,7000000.0,24550000.0,17.016222452938,5,12000000.0,10000000.0,4,14550000.0,5730000.0,31,27.3,11,22.336695770849254,4,0,0.0014567333491267878,10000000.0,0.0,-10000000.0,2023,0,0,0,0,1,0,0
Marco Richter,1.FSV Mainz 05,Hertha BSC,2023,bundesliga,Germany,-0.4,-0.4,-0.3749865093188305,-31.27015207856969,25.0,Midfielder,0,1,0,14.914123179965662,15.424948670398354,3000000.0,5000000.0,24550000.0,17.016222452938,5,12000000.0,10000000.0,4,14550000.0,5730000.0,31,27.3,11,22.336695770849254,4,0,0.0014567333491267878,10000000.0,0.0,-10000000.0,2023,0,0,0,0,1,0,0
Nadiem Amiri,1.FSV Mainz 05,Leverkusen,2023,bundesliga,Germany,-0.75,-0.75,-1.118565686762464,-67.32521021512284,27.0,Midfielder,0,1,0,13.815511557963774,15.201805169084134,1000000.0,4000000.0,24550000.0,17.016222452938,5,12000000.0,10000000.0,4,14550000.0,5730000.0,31,27.3,11,22.336695770849254,4,0,0.0014567333491267878,10000000.0,0.0,-10000000.0,2023,0,0,0,0,1,0,0
Phillipp Mwene,1.FSV Mainz 05,PSV,2023,bundesliga,Germany,-0.6666666666666667,-0.6666666666666667,-0.7684510617418194,-53.626944599802215,29.0,Defender,0,0,1,13.815511557963774,14.914123179965662,1000000.0,3000000.0,24550000.0,17.016222452938,5,12000000.0,10000000.0,4,14550000.0,5730000.0,31,27.3,11,22.336695770849254,4,0,0.0014567333491267878,10000000.0,0.0,-10000000.0,2023,0,0,0,0,1,0,0
Tomas Cvancara,Borussia Mönchengladbach,Sparta Prague,2023,bundesliga,Germany,1.625,1.625,0.702724657565831,101.92471716318576,22.0,Attacker,1,0,0,16.166885910365842,15.201805169084134,10500000.0,4000000.0,25000000.0,17.034386422832473,2,15000000.0,28780000.0,5,-3780000.0,10650000.0,28,26.0,10,22.336695770849254,5,0,0.004736646396579723,28780000.0,0.0,-28780000.0,2023,0,0,0,0,1,0,0
Franck Honorat,Borussia Mönchengladbach,Stade Brestois,2023,bundesliga,Germany,-0.1999999999999999,-0.1999999999999999,-0.005371237184963462,-0.5356838548757126,26.0,Attacker,1,0,0,15.894952224644102,16.118095750958314,8000000.0,10000000.0,25000000.0,17.034386422832473,2,15000000.0,28780000.0,5,-3780000.0,10650000.0,28,26.0,10,22.336695770849254,5,0,0.004736646396579723,28780000.0,0.0,-28780000.0,2023,0,0,0,0,1,0,0
Julian Weigl,Borussia Mönchengladbach,Benfica,2023,bundesliga,Germany,-0.282,-0.282,0.08193115303844323,8.538109497438363,27.0,Midfielder,0,1,0,15.786810080300164,16.118095750958314,7180000.0,10000000.0,25000000.0,17.034386422832473,2,15000000.0,28780000.0,5,-3780000.0,10650000.0,28,26.0,10,22.336695770849254,5,0,0.004736646396579723,28780000.0,0.0,-28780000.0,2023,0,0,0,0,1,0,0
