buyer,theta_medio,n_transacoes,ivb_pct,rank
Hertha BSC,-0.0007892849282370944,27,0.2578947368421053,142
Huddersfield Town,-0.001227374379937063,16,0.25263157894736843,143
Tottenham Hotspur,-0.0014819162079587347,41,0.24736842105263157,144
Everton FC,-0.001526058208104993,36,0.24210526315789474,145
Royal Charleroi SC,-0.0018985321980772066,28,0.23684210526315788,146
Beerschot VA,-0.002605312113096567,4,0.23157894736842105,147
FC Arouca,-0.0026980807835298324,10,0.22631578947368422,148
Newcastle United,-0.002789620149497917,36,0.22105263157894736,149
KRC Genk,-0.003115802266914259,54,0.21578947368421053,150
Gil Vicente FC,-0.0033843127687661753,15,0.21052631578947367,151
RWD Molenbeek,-0.00356587229494149,4,0.20526315789473684,152
CF Estrela Amadora,-0.0042436712477157855,12,0.2,153
AFC Bournemouth,-0.0042933901126995504,39,0.19473684210526315,154
Dijon FCO,-0.004606488911686145,15,0.18947368421052632,155
Benevento Calcio,-0.004692645719659211,10,0.18421052631578946,156
Deportivo Alavés,-0.004750175528861034,33,0.17894736842105263,157
Olympique Marseille,-0.005413263021782033,59,0.1736842105263158,158
Elche CF,-0.005709292387959499,12,0.16842105263157894,159
RCD Mallorca,-0.006909492094501188,20,0.1631578947368421,160
CD Leganés,-0.007295907037814605,19,0.15789473684210525,161
Aston Villa,-0.007784468881512437,43,0.15263157894736842,162
VfB Stuttgart,-0.008252654192845302,51,0.14736842105263157,163
SPAL 2013,-0.008282097631213332,6,0.14210526315789473,164
Ipswich Town,-0.00884043886580566,11,0.1368421052631579,165
Wolverhampton Wanderers,-0.008954048032867722,52,0.13157894736842105,166
FC Schalke 04,-0.009574783285754932,21,0.12631578947368421,167
AC Monza,-0.00986205418906085,21,0.12105263157894737,168
Manchester City,-0.011068984976814846,47,0.11578947368421053,169
Vitória Guimarães SC,-0.01310159812283093,34,0.11052631578947368,170
1.FC Köln,-0.013488796787916608,22,0.10526315789473684,171
Real Valladolid CF,-0.01827878985774834,21,0.1,172
KV Oostende (-2024),-0.018625952319798623,17,0.09473684210526316,173
UD Las Palmas,-0.019300063804953443,8,0.08947368421052632,174
Watford FC,-0.019350299421759358,28,0.08421052631578947,175
Atlético de Madrid,-0.02074166394881339,46,0.07894736842105263,176
Stade Brestois 29,-0.02084153247020079,19,0.07368421052631578,177
Sheffield United,-0.02144407063225079,13,0.06842105263157895,178
US Salernitana 1919,-0.02252844573423197,24,0.06315789473684211,179
Casa Pia AC,-0.02273338011874851,5,0.05789473684210526,180
Cardiff City,-0.024186758029363636,6,0.05263157894736842,181
SpVgg Greuther Fürth,-0.026918857660816104,3,0.04736842105263158,182
US Sassuolo,-0.03838156324412122,52,0.042105263157894736,183
SPAL,-0.040331685747640046,13,0.03684210526315789,184
Inter Milan,-0.0403334267749514,43,0.031578947368421054,185
KVC Westerlo,-0.04158338731066791,23,0.02631578947368421,186
Brescia Calcio (- 2025),-0.04796352782934403,8,0.021052631578947368,187
Arminia Bielefeld,-0.06618251436479342,9,0.015789473684210527,188
Hellas Verona,-0.10141247302099417,60,0.010526315789473684,189
SD Eibar,-0.13999029800661747,14,0.005263157894736842,190
